text,label
"Thanks for sending over the documents, I'll review them by end of day.",ham
"Hey Quinn, are you available for a quick call this afternoon?",ham
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Act now to receive exclusive discounts on iPhone. Offer expires soon!,spam
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
"Thanks for your help with the client demo, it went really well!",ham
Win a brand new watch! Click the link below to enter the draw.,spam
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Your email has won our international lottery worth $21576.,spam
CONGRATULATIONS! Claim your reward of $3151 gift card now!,spam
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
Get rich quick scheme: invest $45850 and earn ten times profit.,spam
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
WARNING: Your computer is infected! Download our antivirus now.,spam
Make money fast! Earn $9257 per week working from home.,spam
Win a brand new iPhone! Click the link below to enter the draw.,spam
Buy one get one free on all car! This weekend only.,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
Happy birthday Alex! Hope you have a wonderful day!,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Please find attached the quarterly report for your review.,ham
Congratulations! You have won a $13486 prize. Click here to claim now!,spam
Please find attached the quarterly report for your review.,ham
Get rich quick scheme: invest $24027 and earn ten times profit.,spam
Your email has won our international lottery worth $23380.,spam
Get rich quick scheme: invest $47176 and earn ten times profit.,spam
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Your email has won our international lottery worth $40548.,spam
Win a brand new iPhone! Click the link below to enter the draw.,spam
Hot singles in your area are waiting for you. Click to meet them!,spam
"Great job on the presentation today, Alex! Very well done.",ham
Buy one get one free on all tablet! This weekend only.,spam
Lose 22091 pounds in just 8 days with this miracle pill!,spam
The bug in the login module has been fixed and deployed to staging.,ham
Congratulations! You have won a $28359 prize. Click here to claim now!,spam
Double your investment in 30 days! Risk free guaranteed returns.,spam
"FREE watch for you! Limited time offer, act now!",spam
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
"Thanks for sending over the documents, I'll review them by end of day.",ham
Get rich quick scheme: invest $6722 and earn ten times profit.,spam
Double your investment in 30 days! Risk free guaranteed returns.,spam
Secret method to earn $16275 daily from home — guaranteed!,spam
Let's schedule a meeting to discuss the new feature requirements.,ham
Act now to receive exclusive discounts on laptop. Offer expires soon!,spam
Happy birthday Casey! Hope you have a wonderful day!,ham
"Thanks for your help with the client demo, it went really well!",ham
The project deadline has been moved to next Friday. Please plan accordingly.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Hot singles in your area are waiting for you. Click to meet them!,spam
Could you please share the updated spreadsheet with the latest numbers?,ham
Make money fast! Earn $13473 per week working from home.,spam
Your loan of $45854 has been pre-approved. No credit check required.,spam
Don't forget to submit your timesheet by end of day Friday.,ham
Could you please share the updated spreadsheet with the latest numbers?,ham
Here are the notes from today's brainstorming session.,ham
Act now to receive exclusive discounts on iPhone. Offer expires soon!,spam
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Let's schedule a meeting to discuss the new feature requirements.,ham
Cheap laptop available now at unbeatable prices! Order today.,spam
Lose 34370 pounds in just 4 days with this miracle pill!,spam
Happy birthday Casey! Hope you have a wonderful day!,ham
Lose 35864 pounds in just 3 days with this miracle pill!,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
URGENT: Your account has been compromised. Verify your identity immediately.,spam
Make money fast! Earn $18542 per week working from home.,spam
"Hi Casey, just wanted to follow up on our meeting yesterday.",ham
Your loan of $11571 has been pre-approved. No credit check required.,spam
You are selected for a special cashback offer of 33%. Reply YES.,spam
Win a brand new vacation! Click the link below to enter the draw.,spam
Congratulations! You have won a $29149 prize. Click here to claim now!,spam
Make money fast! Earn $17103 per week working from home.,spam
Get rich quick scheme: invest $39681 and earn ten times profit.,spam
Please confirm your attendance for the company picnic next week.,ham
URGENT: Your account has been compromised. Verify your identity immediately.,spam
I've completed the code review for the pull request. See my comments.,ham
Cheap iPhone available now at unbeatable prices! Order today.,spam
Hot singles in your area are waiting for you. Click to meet them!,spam
"Thanks for your help with the client demo, it went really well!",ham
"Thanks for your help with the client demo, it went really well!",ham
The project deadline has been moved to next Friday. Please plan accordingly.,ham
"Hi Riley, just wanted to follow up on our meeting yesterday.",ham
"Great job on the presentation today, Quinn! Very well done.",ham
Here are the notes from today's brainstorming session.,ham
"Thanks for your help with the client demo, it went really well!",ham
Make money fast! Earn $34339 per week working from home.,spam
Win a brand new iPhone! Click the link below to enter the draw.,spam
URGENT: Your account has been compromised. Verify your identity immediately.,spam
Act now to receive exclusive discounts on iPhone. Offer expires soon!,spam
Make money fast! Earn $46335 per week working from home.,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
"Hey Morgan, are you available for a quick call this afternoon?",ham
Cheap vacation available now at unbeatable prices! Order today.,spam
Happy birthday Quinn! Hope you have a wonderful day!,ham
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
The bug in the login module has been fixed and deployed to staging.,ham
Here are the notes from today's brainstorming session.,ham
URGENT: Your account has been compromised. Verify your identity immediately.,spam
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
I'll be out of office from Monday to Wednesday. Reach out to Sam if urgent.,ham
Win a brand new camera! Click the link below to enter the draw.,spam
Your email has won our international lottery worth $30643.,spam
I'll be out of office from Monday to Wednesday. Reach out to Morgan if urgent.,ham
You've been randomly selected to receive a free TV. No purchase necessary.,spam
Cheap TV available now at unbeatable prices! Order today.,spam
URGENT: Your account has been compromised. Verify your identity immediately.,spam
Please find attached the quarterly report for your review.,ham
Please confirm your attendance for the company picnic next week.,ham
Hot singles in your area are waiting for you. Click to meet them!,spam
You've been randomly selected to receive a free tablet. No purchase necessary.,spam
Please find attached the quarterly report for your review.,ham
Let's schedule a meeting to discuss the new feature requirements.,ham
Please confirm your attendance for the company picnic next week.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Double your investment in 30 days! Risk free guaranteed returns.,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
I'll be out of office from Monday to Wednesday. Reach out to Riley if urgent.,ham
Buy one get one free on all vacation! This weekend only.,spam
You've been randomly selected to receive a free watch. No purchase necessary.,spam
Please confirm your attendance for the company picnic next week.,ham
Congratulations! You have won a $8017 prize. Click here to claim now!,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
Please find attached the quarterly report for your review.,ham
Make money fast! Earn $21547 per week working from home.,spam
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Act now to receive exclusive discounts on TV. Offer expires soon!,spam
Cheap watch available now at unbeatable prices! Order today.,spam
Buy one get one free on all car! This weekend only.,spam
WARNING: Your computer is infected! Download our antivirus now.,spam
"Thanks for your help with the client demo, it went really well!",ham
The bug in the login module has been fixed and deployed to staging.,ham
The project deadline has been moved to next Friday. Please plan accordingly.,ham
"Great job on the presentation today, Sam! Very well done.",ham
Your loan of $34252 has been pre-approved. No credit check required.,spam
Could you please share the updated spreadsheet with the latest numbers?,ham
Secret method to earn $10911 daily from home — guaranteed!,spam
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
WARNING: Your computer is infected! Download our antivirus now.,spam
Win a brand new camera! Click the link below to enter the draw.,spam
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
Cheap tablet available now at unbeatable prices! Order today.,spam
I'll be out of office from Monday to Wednesday. Reach out to Sam if urgent.,ham
Lose 8546 pounds in just 4 days with this miracle pill!,spam
Get rich quick scheme: invest $37280 and earn ten times profit.,spam
Could you please share the updated spreadsheet with the latest numbers?,ham
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
Let's schedule a meeting to discuss the new feature requirements.,ham
Your loan of $7363 has been pre-approved. No credit check required.,spam
You are selected for a special cashback offer of 51%. Reply YES.,spam
Congratulations! You have won a $14931 prize. Click here to claim now!,spam
Win a brand new vacation! Click the link below to enter the draw.,spam
Buy one get one free on all TV! This weekend only.,spam
Please confirm your attendance for the company picnic next week.,ham
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Exclusive VIP membership — join today for only $35680 per month.,spam
Buy one get one free on all vacation! This weekend only.,spam
Your email has won our international lottery worth $34082.,spam
Your loan of $6713 has been pre-approved. No credit check required.,spam
I'll be out of office from Monday to Wednesday. Reach out to Riley if urgent.,ham
Lose 28373 pounds in just 24 days with this miracle pill!,spam
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
The project deadline has been moved to next Friday. Please plan accordingly.,ham
Buy one get one free on all iPhone! This weekend only.,spam
Buy one get one free on all car! This weekend only.,spam
Happy birthday Sam! Hope you have a wonderful day!,ham
I've completed the code review for the pull request. See my comments.,ham
Please find attached the quarterly report for your review.,ham
CONGRATULATIONS! Claim your reward of $13656 gift card now!,spam
Happy birthday Alex! Hope you have a wonderful day!,ham
Win a brand new car! Click the link below to enter the draw.,spam
Buy one get one free on all TV! This weekend only.,spam
URGENT: Your account has been compromised. Verify your identity immediately.,spam
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Congratulations! You have won a $46070 prize. Click here to claim now!,spam
Get rich quick scheme: invest $5738 and earn ten times profit.,spam
"Thanks for sending over the documents, I'll review them by end of day.",ham
"FREE watch for you! Limited time offer, act now!",spam
Please find attached the quarterly report for your review.,ham
Exclusive VIP membership — join today for only $40595 per month.,spam
Don't forget to submit your timesheet by end of day Friday.,ham
"Thanks for your help with the client demo, it went really well!",ham
WARNING: Your computer is infected! Download our antivirus now.,spam
"Great job on the presentation today, Morgan! Very well done.",ham
WARNING: Your computer is infected! Download our antivirus now.,spam
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
You've been randomly selected to receive a free tablet. No purchase necessary.,spam
Secret method to earn $32093 daily from home — guaranteed!,spam
Your loan of $7932 has been pre-approved. No credit check required.,spam
You are selected for a special cashback offer of 34%. Reply YES.,spam
Don't forget to submit your timesheet by end of day Friday.,ham
"Hi Casey, just wanted to follow up on our meeting yesterday.",ham
You are selected for a special cashback offer of 9%. Reply YES.,spam
WARNING: Your computer is infected! Download our antivirus now.,spam
Cheap car available now at unbeatable prices! Order today.,spam
You are selected for a special cashback offer of 71%. Reply YES.,spam
Congratulations! You have won a $38059 prize. Click here to claim now!,spam
Lose 6282 pounds in just 12 days with this miracle pill!,spam
Please find attached the quarterly report for your review.,ham
Here are the notes from today's brainstorming session.,ham
CONGRATULATIONS! Claim your reward of $9952 gift card now!,spam
Please confirm your attendance for the company picnic next week.,ham
Make money fast! Earn $48029 per week working from home.,spam
URGENT: Your account has been compromised. Verify your identity immediately.,spam
"Thanks for sending over the documents, I'll review them by end of day.",ham
WARNING: Your computer is infected! Download our antivirus now.,spam
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Act now to receive exclusive discounts on TV. Offer expires soon!,spam
Cheap laptop available now at unbeatable prices! Order today.,spam
Don't forget to submit your timesheet by end of day Friday.,ham
Double your investment in 30 days! Risk free guaranteed returns.,spam
Please confirm your attendance for the company picnic next week.,ham
Don't forget to submit your timesheet by end of day Friday.,ham
Cheap watch available now at unbeatable prices! Order today.,spam
Happy birthday Quinn! Hope you have a wonderful day!,ham
WARNING: Your computer is infected! Download our antivirus now.,spam
Please confirm your attendance for the company picnic next week.,ham
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Lose 19659 pounds in just 17 days with this miracle pill!,spam
Your loan of $34239 has been pre-approved. No credit check required.,spam
"Great job on the presentation today, Jordan! Very well done.",ham
Happy birthday Casey! Hope you have a wonderful day!,ham
Happy birthday Quinn! Hope you have a wonderful day!,ham
Hot singles in your area are waiting for you. Click to meet them!,spam
Hot singles in your area are waiting for you. Click to meet them!,spam
Secret method to earn $40003 daily from home — guaranteed!,spam
Cheap tablet available now at unbeatable prices! Order today.,spam
I'll be out of office from Monday to Wednesday. Reach out to Casey if urgent.,ham
